tradedate,tradetime,ticker,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b_obstat,val_s_obstat,vol_b_obstat,vol_s_obstat,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,put_orders_b,put_orders_s,put_val_b,put_val_s,put_vol_b,put_vol_s,put_vwap_b,put_vwap_s,put_vol,put_val,put_orders,cancel_orders_b,cancel_orders_s,cancel_val_b,cancel_val_s,cancel_vol_b,cancel_vol_s,cancel_vwap_b,cancel_vwap_s,cancel_vol,cancel_val,cancel_orders,spread_bbo,spread_lv10,spread_1mio,levels_b,levels_s,vol_b_order,vol_s_order,val_b_order,val_s_order,imbalance_vol_bbo,imbalance_val_bbo,imbalance_vol,imbalance_val,vwap_b,vwap_s,vwap_b_1mio,vwap_s_1mio
2025-01-06,14:20:00,SBER,271.85,272.14,271.7,271.94,0.0001,16930,46036510,396,271.92,0.0331,172,224,22505673,23530837,8276,8654,-0.02,271.94,271.91,1,264,131,299,8760,42380,10918481187,19454015096,4024509,7155113,271.3,271.89,11179622,30372496283,51140,8522,42136,10889572775,19409684206,4012888,7137337,271.36,271.95,11150225,30299256981,50658,0.9,8.6,2.2,958,810,429068,236486,1136078353,662486197,0.18,0.18,0.29,0.26,264.78,280.14,271.89,271.95
2025-01-06,14:25:00,SBER,271.93,272.2,271.34,271.4,0.0001,23548,63998286,1380,271.78,-0.1949,197,1183,24840171,39158116,9136,14412,-0.22,271.89,271.7,4,66,187,298,42459,57738,40185900989,23512036019,14812451,8651734,271.3,271.76,23464185,63697937008,100197,42179,56539,40127566170,23453367775,14787466,8627254,271.36,271.85,23414720,63580933945,98718,1.5,9.0,3.0,956,819,428718,239648,1135108214,671149136,0.15,0.15,0.28,0.26,264.77,280.06,271.7,271.79
2025-01-06,14:30:00,SBER,271.39,271.43,270.87,271.32,0.0,50578,137102630,885,271.07,-0.0258,265,620,24523969,112578661,9045,41533,-0.64,271.13,271.06,2,3,128,296,11294,26608,9513843336,11597865071,3512280,4297939,270.87,269.85,7810219,21111708407,37902,10840,26117,9418753491,11519412831,3474998,4245723,271.04,271.32,7720721,20938166322,36957,0.8,8.3,2.0,916,846,423435,244187,1120651064,683389890,0.15,0.15,0.27,0.24,264.66,279.86,271.11,271.17
2025-01-06,14:35:00,SBER,271.3,271.44,271.12,271.21,0.0,6918,18769791,664,271.32,-0.0332,93,571,10556957,8212835,3891,3027,0.12,271.32,271.32,5,41,275,297,17215,12388,8341525705,5652609588,3076798,2083435,271.11,271.31,5160233,13994135294,29603,17053,11781,8295849413,5631216582,3058713,2074802,271.22,271.41,5133515,13927065995,28834,1.2,9.2,2.8,932,850,429878,247089,1137964156,691321890,-0.02,-0.02,0.27,0.24,264.72,279.79,271.29,271.37
2025-01-06,14:40:00,SBER,271.2,271.75,271.2,271.5,0.0001,11364,30867576,264,271.63,0.1106,163,101,13220292,17647283,4869,6495,-0.14,271.52,271.71,11,220,11,297,6196,4564,3255665373,2553300030,1201947,939887,270.87,271.66,2141834,5808965404,10760,6021,4408,3211995286,2510861779,1184404,924222,271.19,271.67,2108626,5722857065,10429,0.8,8.6,2.4,942,845,443049,246742,1172837078,690381131,-0.27,-0.27,0.28,0.26,264.72,279.8,271.4,271.46
2025-01-06,14:45:00,SBER,271.51,272.0,271.51,271.94,0.0001,14510,39436039,302,271.79,0.1584,202,100,32145028,7291011,11828,2682,0.63,271.77,271.85,7,287,7,300,43592,14431,17331646850,6994361073,6379071,2573015,271.7,271.84,8952086,24326007924,58023,43407,14275,17313106418,6958634923,6370586,2559367,271.77,271.89,8929953,24271741341,57682,0.8,8.8,2.5,958,830,444277,256075,1176015174,715907781,-0.26,-0.26,0.27,0.24,264.7,279.57,271.71,271.78
2025-01-06,14:50:00,SBER,271.86,272.0,271.64,271.67,0.0,8984,24417220,1475,271.79,-0.0699,118,1357,10274037,14143183,3779,5205,-0.16,271.87,271.72,2,4,280,300,15419,55775,7030105798,25161675802,2588571,9259034,271.58,271.75,11847605,32191781601,71194,15231,54358,7017581880,25132210057,2583621,9246018,271.62,271.82,11829639,32149791937,69589,1.1,8.7,2.7,960,840,440605,257272,1166142953,719190090,-0.06,-0.06,0.26,0.24,264.67,279.54,271.72,271.8
2025-01-06,14:55:00,SBER,271.67,271.7,271.15,271.26,0.0001,13174,35770118,245,271.52,-0.1509,66,179,1298561,34471557,478,12696,-0.93,271.67,271.52,2,34,285,298,5857,94239,2426145835,39427311098,894658,14510321,271.18,271.72,15404979,41853456933,100096,5708,94183,2397580372,39371332790,884012,14488866,271.22,271.74,15372878,41768913162,99891,0.9,8.4,3.0,954,851,439696,261103,1163640683,729617595,0.14,0.14,0.25,0.23,264.65,279.44,271.6,271.69
2025-01-06,15:00:00,SBER,271.3,271.78,271.17,271.71,0.0,5779,15684014,1300,271.4,0.1511,118,1182,7911661,7772353,2915,2864,0.01,271.41,271.38,1,279,59,294,56662,37580,24296359576,21947157089,8957771,8079166,271.23,271.65,17036937,46243516665,94242,56507,36345,24274675357,21941006540,8947478,8075656,271.3,271.69,17023134,46215681898,92852,1.3,9.0,3.1,942,859,440836,267604,1166670966,747233966,0.2,0.2,0.24,0.22,264.65,279.23,271.41,271.5
2025-01-06,15:05:00,SBER,271.64,271.95,271.64,271.78,0.0,4602,12509414,210,271.83,0.0515,140,70,8644553,3864861,3180,1422,0.38,271.84,271.79,3,256,3,300,17568,39726,6831636514,30080005288,2516088,11063192,271.52,271.89,13579280,36911641803,57294,17411,39633,6822817145,30071733953,2511597,11059521,271.65,271.91,13571118,36894551098,57044,0.8,8.3,2.2,964,838,444020,267609,1175234590,747377568,-0.04,-0.04,0.25,0.22,264.68,279.28,271.76,271.81
2025-01-06,15:10:00,SBER,271.79,271.95,271.49,271.6,0.0,6103,16580162,1349,271.67,-0.0699,100,1249,5775142,10805020,2125,3978,-0.3,271.77,271.62,1,63,187,300,17518,41532,7990869830,27171081992,2943883,9996440,271.44,271.81,12940323,35161951823,59050,17323,40284,7978657108,27134048304,2938968,9980616,271.48,271.87,12919584,35112705412,57607,1.3,8.8,3.1,960,847,443681,270780,1174344520,755935857,-0.22,-0.22,0.24,0.22,264.68,279.17,271.64,271.72
2025-01-06,15:15:00,SBER,271.6,271.92,271.6,271.87,0.0,2944,8002980,206,271.84,0.0994,130,76,5001695,3001285,1840,1104,0.25,271.83,271.86,2,129,2,298,66098,10551,26499707042,6785657156,9752654,2496190,271.72,271.84,12248844,33285364198,76649,65944,10478,26482200169,6801216566,9745340,2501153,271.74,271.92,12246493,33283416735,76422,0.7,8.8,2.3,970,838,448560,271337,1187589477,757475721,-0.11,-0.11,0.25,0.22,264.76,279.16,271.8,271.86
2025-01-06,15:20:00,SBER,271.88,271.9,271.79,271.79,0.0,4948,13451096,216,271.85,-0.0331,124,92,10411846,3039250,3830,1118,0.55,271.85,271.85,4,7,29,300,35857,10452,15715631110,6974367939,5786342,2564803,271.6,271.93,8351145,22689999049,46309,35708,10342,15715630625,6960923009,5783051,2559617,271.75,271.95,8342668,22676553634,46050,0.7,8.3,2.5,972,838,447469,270545,1184658517,755303170,-0.35,-0.35,0.25,0.22,264.75,279.18,271.81,271.87
2025-01-06,15:25:00,SBER,271.8,271.88,271.55,271.59,0.0,7772,21120284,1479,271.75,-0.0773,108,1371,4479012,16641273,1648,6124,-0.58,271.78,271.74,8,104,273,300,5600,10851,2952177390,6016629515,1088231,2215948,271.28,271.51,3304179,8968806905,16451,5438,9498,2937880524,6009739448,1082245,2210392,271.46,271.89,3292637,8947619973,14936,0.8,8.3,2.5,967,847,448284,270567,1186849607,755361554,-0.23,-0.23,0.25,0.22,264.75,279.18,271.72,271.79
2025-01-06,15:30:00,SBER,271.6,271.61,271.0,271.31,0.0,24952,67678068,427,271.23,-0.1068,152,275,12109418,55568650,4465,20487,-0.64,271.21,271.24,4,7,93,299,114119,5014,50809074133,3885639660,18738064,1449659,271.15,268.04,20187723,54694713794,119133,113852,4884,50762905255,3844272581,18719481,1415394,271.18,271.6,20134875,54607177836,118736,0.8,8.8,2.2,939,870,441703,276511,1168897623,771428463,-0.45,-0.45,0.23,0.2,264.63,278.99,271.31,271.37
2025-01-06,15:35:00,SBER,271.34,271.4,271.0,271.04,0.0,11392,30888082,1608,271.14,-0.1106,135,1473,7976910,22911172,2941,8451,-0.48,271.23,271.11,1,62,262,299,8200,5727,3810845148,3332121820,1406218,1232001,271.0,270.46,2638219,7142966969,13927,7996,4342,3775722019,3336601415,1392614,1228519,271.12,271.6,2621133,7112323434,12338,0.5,8.5,1.5,938,872,440815,277459,1166478464,774001059,-0.23,-0.23,0.23,0.2,264.62,278.96,271.29,271.33
2025-01-06,15:40:00,SBER,271.04,271.36,271.04,271.23,0.0001,8234,22331590,181,271.21,0.0701,87,94,9511092,12820498,3507,4727,-0.15,271.2,271.22,1,145,1,289,16772,10004,7614238193,6710403743,2810954,2475187,270.88,271.11,5286141,14324641937,26776,16584,9913,7596724383,6693249105,2801571,2464411,271.16,271.6,5265982,14289973488,26497,1.0,9.2,4.0,936,876,446564,274328,1181965793,765478230,0.02,0.02,0.24,0.21,264.68,279.04,271.19,271.3
2025-01-06,15:45:00,SBER,271.24,271.25,271.01,271.04,0.0,5617,15226126,1568,271.07,-0.0737,126,1442,2814175,12411951,1038,4579,-0.63,271.12,271.06,6,17,171,300,2185,4484,1326906212,5058410916,490588,1865001,270.47,271.23,2355589,6385317128,6669,1970,3077,1312928148,5053364568,484713,1860651,270.87,271.59,2345364,6366292717,5047,0.7,7.8,2.3,927,881,445905,275944,1180154123,769835325,-0.3,-0.3,0.24,0.21,264.66,278.98,271.08,271.15
2025-01-06,15:50:00,SBER,271.05,271.36,271.04,271.17,0.0001,4859,13178543,191,271.22,0.0443,129,62,9356570,3821974,3450,1409,0.42,271.2,271.25,1,157,1,299,22536,7057,9892733896,7027273444,3651729,2587215,270.91,271.62,6238944,16920007340,29593,22412,6962,9875408254,7022153791,3643089,2585058,271.07,271.64,6228147,16897562045,29374,0.6,9.0,2.5,933,875,448611,277306,1187437712,773551306,0.01,0.01,0.24,0.21,264.69,278.95,271.18,271.25
2025-01-06,15:55:00,SBER,271.18,271.32,271.1,271.13,0.0,3664,9935209,1257,271.16,-0.0184,56,1201,1247552,8687657,460,3204,-0.75,271.21,271.15,3,29,198,291,47951,10290,22729785119,9111565544,8382726,3354936,271.15,271.59,11737662,31841350664,58241,47844,9098,22727673043,9091346810,8381808,3347210,271.15,271.61,11729018,31819019853,56942,1.0,8.8,3.1,932,877,449276,279351,1189246123,779249066,-0.35,-0.35,0.23,0.21,264.7,278.95,271.15,271.24
2025-01-06,16:00:00,SBER,271.12,271.14,270.84,271.02,0.0,18285,49545497,449,270.96,-0.0369,179,270,20522599,29022898,7574,10711,-0.17,270.96,270.96,2,3,113,297,16978,35528,6998082514,49856105979,2586053,18375724,270.61,271.32,20961777,56854188494,52506,16725,35385,6968957087,49810812650,2572762,18354690,270.87,271.38,20927452,56779769737,52110,0.7,8.2,2.2,913,886,444940,281439,1177517225,785029368,-0.05,-0.05,0.23,0.2,264.65,278.93,270.95,271.01
2025-01-06,16:05:00,SBER,271.01,271.02,270.85,270.9,0.0,9122,24709850,229,270.88,-0.0406,128,101,10407577,14302273,3842,5280,-0.16,270.89,270.88,3,25,112,299,2381,1295,1301124883,1299487291,481184,479700,270.4,270.9,960884,2600612175,3676,2206,1186,1279157042,1257366909,472451,463537,270.75,271.25,935988,2536523952,3392,0.5,7.5,1.2,903,891,442593,288888,1171157905,805177708,-0.33,-0.33,0.21,0.19,264.61,278.72,270.89,270.92
2025-01-06,16:10:00,SBER,270.9,271.31,270.89,271.3,0.0,10506,28476795,1327,271.05,0.1477,179,1148,22528756,5948039,8312,2194,0.58,271.04,271.1,2,195,2,299,43416,20390,20157815173,18324646684,7438958,6750912,270.98,271.44,14189870,38482461857,63806,43248,19202,20124276753,18328669479,7425119,6751817,271.03,271.46,14176936,38452946232,62450,0.9,8.3,2.4,911,887,445152,284402,1177988319,793028900,0.0,0.0,0.22,0.2,264.63,278.84,270.98,271.05
